szoba_def_id,kollegium_id,szoba_szam,max_ferohely,szabad_ferohely
,1,102,4,4
,1,103,4,4
,1,104,4,4
,1,105,4,4
,1,106,4,4
,1,107,4,4
,1,108,4,4
,1,109,4,4
,1,110,4,4
,1,111,4,4
,1,112,4,4
,1,113,4,4
,1,114,4,4
,1,115,4,4
,1,116,4,4
,1,117,4,4
,1,119,4,4
,1,120,4,4
,1,122,4,4
,1,124,4,4
,1,125,4,4
,1,126,4,4
,1,201,2,2
,1,202,2,2
,1,203,2,2
,1,204,2,2
,1,205,2,2
,1,206,4,4
,1,207,4,4
,1,208,4,4
,1,209,4,4
,1,210,4,4
,1,211,4,4
,1,212,4,4
,1,213,4,4
,1,214,4,4
,1,215,4,4
,1,216,4,4
,1,217,4,4
,1,219,4,4
,1,220,4,4
,1,222,4,4
,1,224,2,2
,1,225,2,2
,1,226,2,2
,1,301,4,4
,1,302,4,4
,1,303,4,4
,1,304,4,4
,1,305,4,4
,1,306,4,4
,1,307,4,4
,1,308,4,4
,1,309,4,4
,1,310,4,4
,1,311,4,4
,1,312,4,4
,1,313,4,4
,1,314,0,0
,1,315,4,4
,1,316,4,4
,1,317,4,4
,1,319,4,4
,1,320,4,4
,1,322,4,4
,1,324,4,4
,1,325,4,4
,1,326,4,4
,1,401,4,4
,1,402,4,4
,1,403,4,4
,1,404,4,4
,1,405,4,4
,1,406,4,4
,1,407,4,4
,1,408,4,4
,1,409,4,4
,1,410,4,4
,1,411,4,4
,1,412,4,4
,1,413,4,4
,1,414,4,4
,1,415,4,4
,1,416,4,4
,1,417,4,4
,1,419,4,4
,1,420,4,4
,1,422,4,4
,1,424,4,4
,1,425,4,4
,1,426,4,4
,1,501,4,4
,1,502,4,4
,1,503,4,4
,1,504,4,4
,1,505,4,4
,1,506,4,4
,1,507,4,4
,1,508,4,4
,1,509,4,4
,1,510,4,4
,1,511,4,4
,1,512,4,4
,1,513,4,4
,1,514,4,4
,1,515,4,4
,1,516,4,4
,1,517,4,4
,1,519,4,4
,1,520,4,4
,1,522,4,4
,1,524,4,4
,1,525,4,4
,1,526,4,4
,1,601,4,4
,1,602,4,4
,1,603,4,4
,1,604,4,4
,1,605,4,4
,1,606,4,4
,1,607,4,4
,1,608,4,4
,1,609,4,4
,1,610,4,4
,1,611,4,4
,1,612,4,4
,1,613,4,4
,1,614,4,4
,1,615,4,4
,1,616,4,4
,1,617,4,4
,1,619,4,4
,1,620,4,4
,1,622,4,4
,1,624,4,4
,1,625,4,4
,1,626,4,4
,2,101,4,4
,2,102,4,4
,2,103,4,4
,2,104,4,4
,2,105,4,4
,2,106,4,4
,2,107,4,4
,2,108,4,4
,2,201,4,4
,2,202,4,4
,2,203,4,4
,2,204,4,4
,2,205,4,4
,2,206,4,4
,2,207,4,4
,2,208,4,4
,2,301,4,4
,2,302,4,4
,2,303,4,4
,2,304,4,4
,2,305,4,4
,2,306,4,4
,2,307,4,4
,2,308,4,4
,2,401,4,4
,2,402,4,4
,2,403,4,4
,2,404,4,4
,2,405,4,4
,2,406,4,4
,2,407,4,4
,2,408,4,4
